image_path,filename,label,label_str,dataset_name,source,generator,generator_family,original_dataset_split,width,height,file_format,file_size,sha256,split
data/raw/cifake/real/real_cifar10_04201.png,real_cifar10_04201.png,0,real,CIFAKE,CIFAKE-CIFAR10,real_cifar10,real_camera,test,32,32,JPEG,942,3385589daf35649f289e597cdec17aeaf93bb01e7c0d08b2a91d77718719c55a,train
data/raw/cifake/real/real_cifar10_02125.png,real_cifar10_02125.png,0,real,CIFAKE,CIFAKE-CIFAR10,real_cifar10,real_camera,test,32,32,JPEG,893,c0bcd3b8685321d43193a32a55210f5a322712c88d0cb052c629fffd0f80d921,train
data/raw/cifake/real/real_cifar10_04209.png,real_cifar10_04209.png,0,real,CIFAKE,CIFAKE-CIFAR10,real_cifar10,real_camera,test,32,32,JPEG,1003,c58e2c043dbfbf74012fd442123934d3f90d87a3a852e4cb7758d9b6ea8c4d20,train
data/raw/cifake/real/real_cifar10_03259.png,real_cifar10_03259.png,0,real,CIFAKE,CIFAKE-CIFAR10,real_cifar10,real_camera,test,32,32,JPEG,711,dba32e236052d7f5de64b68683fa2ed8ffe3bccb18d6cb2c7a68c0503c27d398,train
data/raw/cifake/real/real_cifar10_00035.png,real_cifar10_00035.png,0,real,CIFAKE,CIFAKE-CIFAR10,real_cifar10,real_camera,test,32,32,JPEG,852,7fb2f4cd22f2da98f0f7fa60d95a55b68c48b1728ce9e30cae8addcb6acd1777,train
data/raw/cifake/real/real_cifar10_07223.png,real_cifar10_07223.png,0,real,CIFAKE,CIFAKE-CIFAR10,real_cifar10,real_camera,test,32,32,JPEG,955,acf75b5cb2b2eb618a891d5544c1fc374b725f02396b990487be0082cf211633,train
data/raw/cifake/real/real_cifar10_04878.png,real_cifar10_04878.png,0,real,CIFAKE,CIFAKE-CIFAR10,real_cifar10,real_camera,test,32,32,JPEG,901,32916ef93e220f26920fdb0c6cd519d908be08be8b3dc918ddaaad8ce90a066f,train
data/raw/cifake/real/real_cifar10_04285.png,real_cifar10_04285.png,0,real,CIFAKE,CIFAKE-CIFAR10,real_cifar10,real_camera,test,32,32,JPEG,982,490f5a35a091f7c79b1ef0131277ee092c91c5f069e2aa4f629f0842af2eaa2c,train
data/raw/cifake/real/real_cifar10_01443.png,real_cifar10_01443.png,0,real,CIFAKE,CIFAKE-CIFAR10,real_cifar10,real_camera,test,32,32,JPEG,943,98dfcfc2419d60e3626393d81c310c6ca13dc015881d71ea02bc712fc3dbd942,train
data/raw/cifake/real/real_cifar10_03915.png,real_cifar10_03915.png,0,real,CIFAKE,CIFAKE-CIFAR10,real_cifar10,real_camera,test,32,32,JPEG,995,91c286571784027e17e00f5c51e29245de9f9247582b9e771e5b3e4418655463,train
data/raw/cifake/real/real_cifar10_07290.png,real_cifar10_07290.png,0,real,CIFAKE,CIFAKE-CIFAR10,real_cifar10,real_camera,test,32,32,JPEG,950,b5417734ac185f21043695e4fccb31b635f275624d70267bb64bb161d7205538,train
data/raw/cifake/real/real_cifar10_04818.png,real_cifar10_04818.png,0,real,CIFAKE,CIFAKE-CIFAR10,real_cifar10,real_camera,test,32,32,JPEG,841,bbb81016ffde095b987f98450d006dc4916501ce86b5b4fedaf3c2acd665ef81,train
