filename,label_str,label,generator,source_dataset,split,image_path,split_path,image_width,image_height,channels,file_format,sha256
real_imagenet_adm_n01440764_13694.JPEG,real,0,real_imagenet,ImageNet-1K,train,data/raw/real/real_imagenet_adm_n01440764_13694.JPEG,data/splits/train/real/real_imagenet_adm_n01440764_13694.JPEG,500,375,3,JPEG,b8470753315b358289f38b31bb69ebf2c605fd694061697f30689eda717f9e79
real_imagenet_adm_n01443537_7751.JPEG,real,0,real_imagenet,ImageNet-1K,validation,data/raw/real/real_imagenet_adm_n01443537_7751.JPEG,data/splits/validation/real/real_imagenet_adm_n01443537_7751.JPEG,500,332,3,JPEG,2b47ac80bd5667864245335c01c432bb23c00401eaecf273e973dbaecc395776
real_imagenet_adm_n01491361_11372.JPEG,real,0,real_imagenet,ImageNet-1K,test,data/raw/real/real_imagenet_adm_n01491361_11372.JPEG,data/splits/test/real/real_imagenet_adm_n01491361_11372.JPEG,500,333,3,JPEG,7fc26b298aaad98aa4d9da320a35dce26e7e084b48aac3baf138fddc8c9454d7
real_imagenet_adm_n01491361_116.JPEG,real,0,real_imagenet,ImageNet-1K,train,data/raw/real/real_imagenet_adm_n01491361_116.JPEG,data/splits/train/real/real_imagenet_adm_n01491361_116.JPEG,500,368,3,JPEG,47c9455417c0af1fdf4ed82a3a5f03ac72be6bb9096327168d54f52df3219d15
real_imagenet_adm_n01494475_3173.JPEG,real,0,real_imagenet,ImageNet-1K,train,data/raw/real/real_imagenet_adm_n01494475_3173.JPEG,data/splits/train/real/real_imagenet_adm_n01494475_3173.JPEG,500,289,3,JPEG,ffcb1d49ecb70dff6564a80247ce9fe611b05197a6516f78ca57a993ca1ae323
real_imagenet_adm_n01494475_586.JPEG,real,0,real_imagenet,ImageNet-1K,validation,data/raw/real/real_imagenet_adm_n01494475_586.JPEG,data/splits/validation/real/real_imagenet_adm_n01494475_586.JPEG,500,375,3,JPEG,2c04cd764240b08b7181fbb20b4e23265bb9072616a77404ae486ee21e15f095
real_imagenet_adm_n01498041_2022.JPEG,real,0,real_imagenet,ImageNet-1K,validation,data/raw/real/real_imagenet_adm_n01498041_2022.JPEG,data/splits/validation/real/real_imagenet_adm_n01498041_2022.JPEG,350,231,3,JPEG,bb2b80621f5228a0fdfb302e31149616d8f9952cd92fec10f33d9c97505fcc2f
real_imagenet_adm_n01498041_6396.JPEG,real,0,real_imagenet,ImageNet-1K,train,data/raw/real/real_imagenet_adm_n01498041_6396.JPEG,data/splits/train/real/real_imagenet_adm_n01498041_6396.JPEG,500,333,3,JPEG,12dbe9f58da73fc203d7e1762d81329eea4438734e7aff80c742504d4f1281fe
real_imagenet_adm_n01498041_8374.JPEG,real,0,real_imagenet,ImageNet-1K,test,data/raw/real/real_imagenet_adm_n01498041_8374.JPEG,data/splits/test/real/real_imagenet_adm_n01498041_8374.JPEG,500,375,3,JPEG,a66c6344ed7ea1376db9f11fa9ed69d0114948751fee667127e94d722f26c783
real_imagenet_adm_n01514668_18208.JPEG,real,0,real_imagenet,ImageNet-1K,train,data/raw/real/real_imagenet_adm_n01514668_18208.JPEG,data/splits/train/real/real_imagenet_adm_n01514668_18208.JPEG,500,417,3,JPEG,d28f53fb9d4b836ce91aa48b9e9296152de8e060b5e3f9cf65d5a0818ba090a8
real_imagenet_adm_n01514859_17463.JPEG,real,0,real_imagenet,ImageNet-1K,train,data/raw/real/real_imagenet_adm_n01514859_17463.JPEG,data/splits/train/real/real_imagenet_adm_n01514859_17463.JPEG,500,333,3,JPEG,6d53afd2d31fbcaeaead8e08cf2566cfb8897942d1971c86567a9fb1969f61b6
real_imagenet_adm_n01530575_7148.JPEG,real,0,real_imagenet,ImageNet-1K,train,data/raw/real/real_imagenet_adm_n01530575_7148.JPEG,data/splits/train/real/real_imagenet_adm_n01530575_7148.JPEG,200,150,3,JPEG,99c77955e5647fae9b3f9917da0e7cc420a87374e5262cd32a7c879bb91bf452
real_imagenet_adm_n01531178_2084.JPEG,real,0,real_imagenet,ImageNet-1K,train,data/raw/real/real_imagenet_adm_n01531178_2084.JPEG,data/splits/train/real/real_imagenet_adm_n01531178_2084.JPEG,500,404,3,JPEG,bcd1eeec872174f2d3373ebfb3571b3653a0cb4c5d18ecf429e0d20a9cfa0c9f
real_imagenet_adm_n01531178_3467.JPEG,real,0,real_imagenet,ImageNet-1K,test,data/raw/real/real_imagenet_adm_n01531178_3467.JPEG,data/splits/test/real/real_imagenet_adm_n01531178_3467.JPEG,394,500,3,JPEG,aadba2328a5f7830e0c0d8a8a00b7ad08c6caae44178d11ae0add13c2597042d
real_imagenet_adm_n01531178_97.JPEG,real,0,real_imagenet,ImageNet-1K,test,data/raw/real/real_imagenet_adm_n01531178_97.JPEG,data/splits/test/real/real_imagenet_adm_n01531178_97.JPEG,750,500,3,JPEG,1012b0b709e463622706acde2cb22437b8a2add36ab4bd83321aa9065ced57a2
real_imagenet_adm_n01532829_16287.JPEG,real,0,real_imagenet,ImageNet-1K,train,data/raw/real/real_imagenet_adm_n01532829_16287.JPEG,data/splits/train/real/real_imagenet_adm_n01532829_16287.JPEG,500,318,3,JPEG,1781ca1c860f2eb47f5452845e254ebcf45a2c70648f26b5edd88fb21a072f60
real_imagenet_adm_n01532829_3223.JPEG,real,0,real_imagenet,ImageNet-1K,train,data/raw/real/real_imagenet_adm_n01532829_3223.JPEG,data/splits/train/real/real_imagenet_adm_n01532829_3223.JPEG,441,500,3,JPEG,6d41b572dbd7b804655f1e34c3b11a0e0716189566539de5937f21f566d94ebc
real_imagenet_adm_n01534433_13647.JPEG,real,0,real_imagenet,ImageNet-1K,train,data/raw/real/real_imagenet_adm_n01534433_13647.JPEG,data/splits/train/real/real_imagenet_adm_n01534433_13647.JPEG,500,375,3,JPEG,176164e7a5759f1fe83140acbcef21a6648d7c2cf3807f9b27a65ee1a26961f1
real_imagenet_adm_n01534433_4966.JPEG,real,0,real_imagenet,ImageNet-1K,train,data/raw/real/real_imagenet_adm_n01534433_4966.JPEG,data/splits/train/real/real_imagenet_adm_n01534433_4966.JPEG,500,375,3,JPEG,15897f35fe19249eafc0cf11ae1505ac00b4e8677dd87d62c5dc6ba03cacb761
real_imagenet_adm_n01537544_8899.JPEG,real,0,real_imagenet,ImageNet-1K,train,data/raw/real/real_imagenet_adm_n01537544_8899.JPEG,data/splits/train/real/real_imagenet_adm_n01537544_8899.JPEG,449,500,3,JPEG,48cd22dfa4408a0fdcf3f53b6da7c5b5315e85456853a0d77e047f9e8f6fb920
real_imagenet_adm_n01537544_9247.JPEG,real,0,real_imagenet,ImageNet-1K,train,data/raw/real/real_imagenet_adm_n01537544_9247.JPEG,data/splits/train/real/real_imagenet_adm_n01537544_9247.JPEG,500,333,3,JPEG,c6e5c67de4ed96871f5e818699c11958b7e1c43b72b20298c35ba568d26c126b
real_imagenet_adm_n01558993_3482.JPEG,real,0,real_imagenet,ImageNet-1K,train,data/raw/real/real_imagenet_adm_n01558993_3482.JPEG,data/splits/train/real/real_imagenet_adm_n01558993_3482.JPEG,500,334,3,JPEG,19b4377fc77802d8a8526da95902dcf74f053c56d06573e562a7c79191accdb0
real_imagenet_adm_n01580077_784.JPEG,real,0,real_imagenet,ImageNet-1K,validation,data/raw/real/real_imagenet_adm_n01580077_784.JPEG,data/splits/validation/real/real_imagenet_adm_n01580077_784.JPEG,500,373,3,JPEG,175693c75825ef0c9cba399c2ddde3b76f8584e368b763522237ceccaf5490eb
real_imagenet_adm_n01582220_9336.JPEG,real,0,real_imagenet,ImageNet-1K,train,data/raw/real/real_imagenet_adm_n01582220_9336.JPEG,data/splits/train/real/real_imagenet_adm_n01582220_9336.JPEG,500,375,3,JPEG,97af02078971922995d9e28f53f166a1ca459e5791d2be3aaa5e331b93d0a018
real_imagenet_adm_n01592084_7506.JPEG,real,0,real_imagenet,ImageNet-1K,validation,data/raw/real/real_imagenet_adm_n01592084_7506.JPEG,data/splits/validation/real/real_imagenet_adm_n01592084_7506.JPEG,375,500,3,JPEG,12c316169c3107a4eb1e231ef9a778ed555d6bd807c329ba685437cf87f93c5e
real_imagenet_adm_n01608432_78.JPEG,real,0,real_imagenet,ImageNet-1K,train,data/raw/real/real_imagenet_adm_n01608432_78.JPEG,data/splits/train/real/real_imagenet_adm_n01608432_78.JPEG,500,400,3,JPEG,3f14a56dc6f04e2972a6a987e1cef8d4833fa7758be1af5d0175e6bfe191164c
real_imagenet_adm_n01614925_1447.JPEG,real,0,real_imagenet,ImageNet-1K,test,data/raw/real/real_imagenet_adm_n01614925_1447.JPEG,data/splits/test/real/real_imagenet_adm_n01614925_1447.JPEG,500,375,3,JPEG,a24a71c91604c1007fc3fb67a83660963ec0d0e4a3fe4c140e69ddd351868bde
real_imagenet_adm_n01614925_15477.JPEG,real,0,real_imagenet,ImageNet-1K,train,data/raw/real/real_imagenet_adm_n01614925_15477.JPEG,data/splits/train/real/real_imagenet_adm_n01614925_15477.JPEG,427,500,3,JPEG,2ae2cc5a78f3fd6cfc9a74f42fe1ae00ff718be127e06d65d07ee39702388a74
real_imagenet_adm_n01614925_338.JPEG,real,0,real_imagenet,ImageNet-1K,train,data/raw/real/real_imagenet_adm_n01614925_338.JPEG,data/splits/train/real/real_imagenet_adm_n01614925_338.JPEG,500,375,3,JPEG,8a89f874a22f6e5dd927cede00a58a2e4a97a015903ac686e2253bd463038d45
real_imagenet_adm_n01616318_14294.JPEG,real,0,real_imagenet,ImageNet-1K,test,data/raw/real/real_imagenet_adm_n01616318_14294.JPEG,data/splits/test/real/real_imagenet_adm_n01616318_14294.JPEG,334,500,3,JPEG,53689f3fabafee16034dca5b4ef46d21c478121960bf2ec270ac104946aea09e
real_imagenet_adm_n01629819_727.JPEG,real,0,real_imagenet,ImageNet-1K,train,data/raw/real/real_imagenet_adm_n01629819_727.JPEG,data/splits/train/real/real_imagenet_adm_n01629819_727.JPEG,700,467,3,JPEG,797010098947849fb6c65512835b0f90bbbbe00e164e30dfa54d51450c86eea5
