image_path,filename,label,label_str,dataset_name,source,generator,generator_family,original_dataset_split,width,height,file_format,file_size,sha256
data/raw/cifake/synthetic/synthetic_stable_diffusion_v1_4_03172.png,synthetic_stable_diffusion_v1_4_03172.png,1,synthetic,CIFAKE,CIFAKE-SD14,stable_diffusion_v1_4,latent_diffusion,test,32,32,JPEG,856,0f8fbfa34befe000b01041c01eb00c008d11ee2f15ad71843c36db72762f2aa9
data/raw/cifake/synthetic/synthetic_stable_diffusion_v1_4_06022.png,synthetic_stable_diffusion_v1_4_06022.png,1,synthetic,CIFAKE,CIFAKE-SD14,stable_diffusion_v1_4,latent_diffusion,test,32,32,JPEG,856,0f8fbfa34befe000b01041c01eb00c008d11ee2f15ad71843c36db72762f2aa9
data/raw/cifake/synthetic/synthetic_stable_diffusion_v1_4_05935.png,synthetic_stable_diffusion_v1_4_05935.png,1,synthetic,CIFAKE,CIFAKE-SD14,stable_diffusion_v1_4,latent_diffusion,test,32,32,JPEG,1076,157d5a2b6585681dedc6d4d29623e841bdf30d429f44b489e93a8d3e0bcc46f4
data/raw/cifake/synthetic/synthetic_stable_diffusion_v1_4_07485.png,synthetic_stable_diffusion_v1_4_07485.png,1,synthetic,CIFAKE,CIFAKE-SD14,stable_diffusion_v1_4,latent_diffusion,test,32,32,JPEG,1076,157d5a2b6585681dedc6d4d29623e841bdf30d429f44b489e93a8d3e0bcc46f4
data/raw/cifake/synthetic/synthetic_stable_diffusion_v1_4_06305.png,synthetic_stable_diffusion_v1_4_06305.png,1,synthetic,CIFAKE,CIFAKE-SD14,stable_diffusion_v1_4,latent_diffusion,test,32,32,JPEG,876,1f9dee43936d0f326d04e5c020181d305bb21298d16adf9a0b4426e8303b284b
data/raw/cifake/synthetic/synthetic_stable_diffusion_v1_4_07105.png,synthetic_stable_diffusion_v1_4_07105.png,1,synthetic,CIFAKE,CIFAKE-SD14,stable_diffusion_v1_4,latent_diffusion,test,32,32,JPEG,876,1f9dee43936d0f326d04e5c020181d305bb21298d16adf9a0b4426e8303b284b
data/raw/cifake/synthetic/synthetic_stable_diffusion_v1_4_02635.png,synthetic_stable_diffusion_v1_4_02635.png,1,synthetic,CIFAKE,CIFAKE-SD14,stable_diffusion_v1_4,latent_diffusion,test,32,32,JPEG,960,3f077862661499a0a9c778da927cac243cb7a46ec3d333af3e7b8ae3c7f30693
data/raw/cifake/synthetic/synthetic_stable_diffusion_v1_4_03225.png,synthetic_stable_diffusion_v1_4_03225.png,1,synthetic,CIFAKE,CIFAKE-SD14,stable_diffusion_v1_4,latent_diffusion,test,32,32,JPEG,960,3f077862661499a0a9c778da927cac243cb7a46ec3d333af3e7b8ae3c7f30693
data/raw/cifake/synthetic/synthetic_stable_diffusion_v1_4_02422.png,synthetic_stable_diffusion_v1_4_02422.png,1,synthetic,CIFAKE,CIFAKE-SD14,stable_diffusion_v1_4,latent_diffusion,test,32,32,JPEG,825,43679dd006194ba417159e164626404cc428ce6e2983e012ec587a41be63e756
data/raw/cifake/synthetic/synthetic_stable_diffusion_v1_4_02722.png,synthetic_stable_diffusion_v1_4_02722.png,1,synthetic,CIFAKE,CIFAKE-SD14,stable_diffusion_v1_4,latent_diffusion,test,32,32,JPEG,825,43679dd006194ba417159e164626404cc428ce6e2983e012ec587a41be63e756
